ACTDT,YEAR_COMP,YR_QTR,ACTION,APP_NO,FM,NUMBER,STREET,ST_TYPE,BLOCK,LOT,BLOCKLOT,DESCRIPT,EXT_USE,PROP_USE,AFF_HSG,AFF_TARGET,UNITS,NETUNITS,planning_district_number,planning_district,supervisor_district,analysis_neighborhood,the_geom
2017/10/11,2017,2017_Q4,COMPLETE,201707182218,8,1181,VALENCIA,ST,3636,027,3636027,"REMODEL & LEGALIZE RESIDENTIAL 3RD UNIT AT THE GROUND FLOOR. COMPLIANCE WITH ORDINANCE NO. 155-13 NOT REQUIRED. Sprinklers (NFPA-13R for unit NFPA-13 for garage) on deferred submittal.",2 FAMILY DWELLING,APARTMENTS,,,3,1,8,Mission,9,Mission,POINT (-122.420500567119 37.754070485851)
2016/09/21,2016,2016_Q3,COMPLETE,201206142648,3,882,CAROLINA,ST,4096,030,4096030,"HORIZONTAL ADDITION @ 3RD FLOOR & VERTICAL ADDITION @ 4TH FLOOR PLUS MISC ELEC & PLUMBING WORK. REMODEL & REPAIR EXISTING BUILDING.",1 FAMILY DWELLING,2 FAMILY DWELLING,,,2,1,9,South of Market,10,Potrero Hill,POINT (-122.400258792806 37.757489540903)
2017/08/17,2017,2017_Q3,COMPLETE,201306199977,2,131,MISSOURI,ST,3985,024,3985024,"TO ERECT 4 STORIES NO BASEMENT 9 UNITS RESIDENTIAL RESIDENCE WITH GARAGE.",,APARTMENTS,,,9,9,9,South of Market,10,Potrero Hill,POINT (-122.396426126754 37.764684707122)
2016/08/18,2016,2016_Q3,COMPLETE,201608104642,8,765,MARKET,ST,3706,208,3706208,32C & 32D - REVISION TO PA#201412093363 & 201412093364 TO INSTALL NON-RATED DOOR BETWEEN UNIT C & D,APARTMENTS,APARTMENTS,,,138,-1,4,Downtown,6,Financial District/South Beach,POINT (-122.404331994394 37.786222279405)
2017/09/29,2017,2017_Q3,COMPLETE,201504093263,8,1304,YORK,ST,4274,001,4274001,INSTALL NEW FIRE SPRINKLER SYSTEM FOR GARAGE & NEW UNIT ON GROUND FLOOR and underground ONLY.  REF PA #2013.1011.9147.,2 FAMILY DWELLING,APARTMENTS,,,3,1,8,Mission,9,Mission,POINT (-122.408263180778 37.751119620249)
2017/03/08,2017,2017_Q1,COMPLETE,200512089816,6,4126,17TH,ST,2623,028,2623028,"DEMOLISH 2 STORIES, 1 FAMILY DWELLING BLDG.",1 FAMILY DWELLING,,,,-1,-1,6,Buena Vista,8,Castro/Upper Market,POINT (-122.437967535916 37.762616837591)
2017/01/13,2017,2017_Q1,COMPLETE,201512044144,8,792,DARTMOUTH,ST,6130,016,6130016,KITCHEN & BATHROOM REMODEL ON 2ND LEVEL. ADDITIONAL BEDROOM & BATHROOM ON GROUND LEVEL. TO COMPLY CES NOV#200561719,1 FAMILY DWELLING,1 FAMILY DWELLING,,,1,-1,12,South Central,9,Portola,POINT (-122.409768246384 37.720833351637)
2018/11/02,2018,2018_Q4,COMPLETE,201502178455,3,982,GUERRERO,ST,3618,092,3618092,"CONVERSION OF (E) BASEMENT & CRAWL SPACE INTO 3RD UNIT CONSIDER ONE STORY  CREATED OF SUNKEN TERRACE FOR (N) UNIT W/IN REAR YARD RECONSTRUCT REAR STAIR FROM TOP FL UNIT TO ACCOMMODATE SUNKEN TERRACE ALTERATIONS TO FRONT YARD FOR FRONT ENTRY TO BASEMENT",2 FAMILY DWELLING,APARTMENTS,,,3,1,8,Mission,8,Mission,POINT (-122.42357643834 37.755535546309)
2016/01/05,2016,2016_Q1,COMPLETE,200503298688,3,948,HAMPSHIRE,ST,4143,008,4143008,VERTICAL ADDITION WITH STUDIO APARTMENT ON GROUND FLOOR.,1 FAMILY DWELLING,2 FAMILY DWELLING,,,2,1,8,Mission,9,Mission,POINT (-122.407968051005 37.756893173059)
2017/03/20,2017,2017_Q1,COMPLETE,201511031508,2,66,SUMMIT,WY,7331,135,7331135,"ERECT 3-STORY TYPE 5-B 1 BASEMENT 2 UNITS RESIDENTIAL BUILDING.",,2 FAMILY DWELLING,,,2,2,13,Ingleside,7,Lakeshore,POINT (-122.474488566159 37.715116698476)
2017/05/02,2017,2017_Q2,COMPLETE,201601076555,3,17,OTTAWA,AV,7044A,018,7044A018,"LEGALIZE BASEMENT UNIT PER ORDINANCE# 43-14 - A BEDROOM 1 STUDY ROOM 1 BATHROOM 1 KITCHEN",1 FAMILY DWELLING,2 FAMILY DWELLING,,,2,1,12,South Central,11,Outer Mission,POINT (-122.444325175951 37.713827652427)
2016/10/20,2016,2016_Q4,COMPLETE,200609253193,2,191,BREWSTER,ST,5577,011,5577011,"TO ERECT 4 STORIES SINGLE FAMILY RESIDENCE.",,1 FAMILY DWELLING,,,1,1,11,Bernal Heights,9,Bernal Heights,POINT (-122.407188401185 37.743612535485)
2018/03/23,2018,2018_Q1,COMPLETE,201405236581,3,1236,ARGUELLO,BL,1265,019,1265019,"VERTICAL & HORIZONTAL ADDITIONS TO EXISTING SINGLE FAMILY BLDG TO CREATE 3 FAMILY BLDG. NEW WINDOW AND DOORS AND BUILD SYSTEMS.",1 FAMILY DWELLING,APARTMENTS,,,3,2,14,Inner Sunset,5,Inner Sunset,POINT (-122.457352297325 37.765272952518)
2018/03/20,2018,2018_Q1,COMPLETE,201510139505,6,2306,CASTRO,ST,7537,002,7537002,TO DEMOLISH 1 STORY SINGLE FAMILY DWELLING.,1 FAMILY DWELLING,,,,-1,-1,7,Central,8,Glen Park,POINT (-122.433590354457 37.743089528741)
2018/05/17,2018,2018_Q2,COMPLETE,201803274761,8,1102,CASTRO,ST,2804,001,2804001,TO OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER APP#200903315194 AND 200205297728. ALL WORK IS COMPLETE,2 FAMILY DWELLING,2 FAMILY DWELLING,,,2,-1,7,Central,8,Noe Valley,POINT (-122.434419414133 37.752713283193)
2016/08/31,2016,2016_Q3,COMPLETE,201306068799,2,2127,CASTRO,ST,6612,026,6612026,"TO ERECT 3 STORIES ONE BASEMENT ONE SINGLE FAMILY.",,1 FAMILY DWELLING,,,1,1,7,Central,8,Noe Valley,POINT (-122.433113576066 37.74445204159)
2017/04/26,2017,2017_Q2,COMPLETE,201410209314,3,287,14TH,AV,1419,019,1419019,INSTALL FIRE SPRINKLERS PER NFPA 13.  REF PA #2013.0723.2514 & #2014.0912.6228.,1 FAMILY DWELLING,2 FAMILY DWELLING,,,2,1,1,Richmond,1,Outer Richmond,POINT (-122.47332103829 37.782826303695)
